Entity,Code,Date,Daily tests per thousand people (7-day smoothed) (tests per thousand)

    Argentina,ARG,"Feb 18, 2020",0
    
    Argentina,ARG,"Feb 19, 2020",0
    
    Argentina,ARG,"Feb 20, 2020",0
    
    Argentina,ARG,"Feb 21, 2020",0
    
    Argentina,ARG,"Feb 22, 2020",0
    
    Argentina,ARG,"Feb 23, 2020",0
    
    Argentina,ARG,"Feb 24, 2020",0
    
    Argentina,ARG,"Feb 25, 2020",0
    
    Argentina,ARG,"Feb 26, 2020",0
    
    Argentina,ARG,"Feb 27, 2020",0
    
    Argentina,ARG,"Feb 28, 2020",0
    
    Argentina,ARG,"Feb 29, 2020",0
    
    Argentina,ARG,"Mar 1, 2020",0
    
    Argentina,ARG,"Mar 2, 2020",0
    
    Argentina,ARG,"Mar 3, 2020",0
